CD_CVM,DENOM_CIA,receita,ESCALA_MOEDA,lucro_liquido,setor
020320,CEMIG GERACAO E TRANSMISSAO S.A.,6108966.0,MIL,3692313.0,Energia Elétrica
023981,CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,382068.0,MIL,152307.0,"Agricultura (Açúcar, Álcool e Cana)"
023531,CLARO TELECOM PARTICIPAÇÕES S.A.,48914896.0,MIL,-1306614.0,Emp. Adm. Part. - Telecomunicações
020338,M.DIAS BRANCO S.A. IND COM DE ALIMENTOS,9662833.0,MIL,645948.0,Alimentos
022810,ELDORADO BRASIL CELULOSE S.A.,6373370.0,MIL,1095508.0,Papel e Celulose
025003,SIMPAR S.A.,41062901.0,MIL,93833.0,Serviços Transporte e Logística
023264,AMBEV S.A.,89452669.0,MIL,14846952.0,Bebidas e Fumo
024260,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,5580304.0,MIL,440576.0,Brinquedos e Lazer
020036,BRASILAGRO - CIA BRAS DE PROP AGRICOLAS,1058909.0,MIL,226867.0,"Agricultura (Açúcar, Álcool e Cana)"
027731,CONCESSIONÁRIA DA LINHA 4 DO METRÔ DE SÃO PAULO S.A.,1219069.0,MIL,436509.0,Emp. Adm. Part. - Serviços Transporte e Logística
020087,EMBRAER S.A.,35424174.0,MIL,1923831.0,"Máquinas, Equipamentos, Veículos e Peças"
027502,GIGA MAIS FIBRA TELECOMUNICAÇÕES S.A.,1683211.0,MIL,44871.0,Telecomunicações
020966,SPRINGS GLOBAL PARTICIPACOES S.A.,439368.0,MIL,-613382.0,
026158,ESSENTIA PCHS S.A.,332275.0,MIL,111470.0,Energia Elétrica
020982,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,2544789.0,MIL,1340986.0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração"
020630,FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.,2507.0,MIL,-639.0,"Construção Civil, Mat. Constr. e Decoração"
026697,FOZ DO RIO CLARO ENERGIA S.A.,224742.0,MIL,14871.0,Emp. Adm. Part. - Energia Elétrica
080187,AURA MINERALS INC.,3221711.0,MIL,-148967.0,
080020,"GP INVESTMENTS, LTD.",-132019.0,MIL,-360228.0,
020257,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,3718138.0,MIL,1693915.0,Emp. Adm. Part. - Energia Elétrica
024902,MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.,1179438.0,MIL,69624.0,"Construção Civil, Mat. Constr. e Decoração"
020435,TECNISA S.A.,470626.0,MIL,-151053.0,"Construção Civil, Mat. Constr. e Decoração"
023230,RAIZEN ENERGIA S.A.,66908527.0,MIL,-1313314.0,"Agricultura (Açúcar, Álcool e Cana)"
020370,LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.,192348.0,MIL,34526.0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração"
027847,TECNOGERA-LOCAÇÃO E TRANSFORMAÇÃO DE ENERGIA S.A.,483024.0,MIL,66501.0,"Máquinas, Equipamentos, Veículos e Peças"
023175,IGUA SANEAMENTO S.A.,2623120.0,MIL,-317312.0,"Saneamento, Serv. Água e Gás"
026026,DESKTOP S.A.,1128842.0,MIL,100074.0,Telecomunicações
026590,AURA ALMAS MINERAÇÃO S.A.,708431.0,MIL,138595.0,Emp. Adm. Part. - Extração Mineral
027430,ALUBAR METAIS E CABOS S.A.,3885196.0,MIL,88685.0,Metalurgia e Siderurgia
020605,JHSF PARTICIPACOES S.A.,1607933.0,MIL,861545.0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração"
020770,EZ TEC EMPREEND. E PARTICIPACOES S.A.,1560541.0,MIL,428718.0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração"
026522,CERRADINHO BIOENERGIA S.A.,2574423.0,MIL,40295.0,"Agricultura (Açúcar, Álcool e Cana)"
020915,MRV ENGENHARIA E PARTICIPACOES S.A.,9009035.0,MIL,-482097.0,"Construção Civil, Mat. Constr. e Decoração"
021490,ALUPAR INVESTIMENTO S/A,4002104.0,MIL,1859906.0,Emp. Adm. Part. - Energia Elétrica
026603,GSH CORP PARTICIPAÇÕES S.A.,674538.0,MIL,12059.0,Serviços Médicos
004669,GUARARAPES CONFECCOES S.A.,9634207.0,MIL,235138.0,Têxtil e Vestuário
020540,CPFL ENERGIAS RENOVÁVEIS S.A.,3631444.0,MIL,1204299.0,Emp. Adm. Part. - Energia Elétrica
021636,RENOVA ENERGIA S.A.,259226.0,MIL,-117069.0,Energia Elétrica
021393,CIA CELG DE PARTICIPACOES - CELGPAR,31297.0,MIL,37486.0,Emp. Adm. Part. - Energia Elétrica
024546,PRÁTICA PRODUTOS S.A.,338466.0,MIL,32623.0,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças"
021180,NEXPE PARTICIPAÇÕES S.A,114309.0,MIL,-48496.0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração"
021008,GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.,180492.0,MIL,-815268.0,Comércio (Atacado e Varejo)
020818,VIRGO COMPANHIA DE SECURITIZAÇÃO,28904.0,MIL,20402.0,
025224,2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,535601.0,MIL,-407042.0,
025100,CURY CONSTRUTORA E INCORPORADORA S.A.,3926310.0,MIL,698812.0,"Construção Civil, Mat. Constr. e Decoração"
021040,SYN PROP & TECH S.A.,1357743.0,MIL,659946.0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração"
021016,YDUQS PARTICIPACOES S.A.,5351785.0,MIL,341208.0,Emp. Adm. Part. - Educação
021130,TRISUL S.A.,1346694.0,MIL,174844.0,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração"
023396,AEGEA SANEAMENTO E PARTICIPAÇÕES S.A.,14212394.0,MIL,2396851.0,"Saneamento, Serv. Água e Gás"
027669,CORPÓREOS - SERVIÇOS TERAPÊUTICOS S.A.,954010.0,MIL,54195.0,Serviços Médicos
021903,ECORODOVIAS CONCESSÕES E SERVIÇOS S.A.,9496782.0,MIL,1014685.0,Emp. Adm. Part. - Serviços Transporte e Logística
025585,CSN MINERAÇÃO S.A.,16496317.0,MIL,4527718.0,Extração Mineral
027740,PRIO FORTE S.A.,2348825.0,MIL,6445650.0,Petróleo e Gás
